Species Number,Alpha Code,Common Name,Scientific Name,T & E
6110,PUMA,Purple Martin,Progne subis,
6112,GBMA,Gray-breasted Martin,Progne chalybea,
6113,CAMA,Caribbean Martin,Progne dominicensis,
6120,CLSW,Cliff Swallow,Petrochelidon pyrrhonota,
6121,CASW,Cave Swallow,Petrochelidon fulva,
6130,BARS,Barn Swallow,Hirundo rustica,
6140,TRES,Tree Swallow,Tachycineta bicolor,
6150,VGSW,Violet-green Swallow,Tachycineta thalassina,
6151,BAHS,Bahama Swallow,Tachycineta cyaneoviridis,
6160,BANS,Bank Swallow,Riparia riparia,
6170,NRWS,Northern Rough-winged Swallow,Stelgidopteryx serripennis,
6180,BOWA,Bohemian Waxwing,Bombycilla garrulus,
6190,CEDW,Cedar Waxwing,Bombycilla cedrorum,
6200,PHAI,Phainopepla,Phainopepla nitens,
6210,NSHR,Northern Shrike,Lanius borealis,
6211,BRSH,Brown Shrike,Lanius cristatus,
6220,LOSH,Loggerhead Shrike,Lanius ludovicianus,
6221,KAOO,Kauai Oo,Moho braccatus,Y
6223,BIOO,Bishop's Oo,Moho bishopi,Y
6226,JAWE,Japanese White-eye,Zosterops japonicus,
6227,SLSH,San Clemente Loggerhead Shrike,Lanius ludovicianus mearnsi,Y
6230,BWVI,Black-whiskered Vireo,Vireo altiloquus,
6240,REVI,Red-eyed Vireo,Vireo olivaceus,
6250,YGVI,Yellow-green Vireo,Vireo flavoviridis,
6260,PHVI,Philadelphia Vireo,Vireo philadelphicus,
6270,WAVI,Warbling Vireo,Vireo gilvus,
6280,YTVI,Yellow-throated Vireo,Vireo flavifrons,
6290,BHVI,Blue-headed Vireo,Vireo solitarius,
6291,PLVI,Plumbeous Vireo,Vireo plumbeus,
6292,CAVI,Cassin's Vireo,Vireo cassinii,
6299,SOVI,Solitary Vireo,,
6300,BCVI,Black-capped Vireo,Vireo atricapilla,
6310,WEVI,White-eyed Vireo,Vireo griseus,
6320,HUVI,Hutton's Vireo,Vireo huttoni,
6330,BEVI,Bell's Vireo,Vireo bellii,
6331,PRVI,Puerto Rican Vireo,Vireo latimeri,
6334,LBVI,Least Bell's Vireo,Vireo bellii pusillus,Y
6340,GRVI,Gray Vireo,Vireo vicinior,
6350,BANA,Bananaquit,Coereba flaveola,
6360,BAWW,Black-and-white Warbler,Mniotilta varia,
6366,HYWA,Hybrid Warbler,,
6370,PROW,Prothonotary Warbler,Protonotaria citrea,
6380,SWWA,Swainson's Warbler,Limnothlypis swainsonii,
6390,WEWA,Worm-eating Warbler,Helmitheros vermivorum,
6410,BWWA,Blue-winged Warbler,Vermivora cyanoptera,
6412,BRWA,Brewster's Warbler,,
6413,LAWA,Lawrence's Warbler,,
6416,GBWH,Golden-winged x Blue-winged Warbler Hybrid,,
6420,GWWA,Golden-winged Warbler,Vermivora chrysoptera,
6430,LUWA,Lucy's Warbler,Oreothlypis luciae,
6440,VIWA,Virginia's Warbler,Oreothlypis virginiae,
6450,NAWA,Nashville Warbler,Oreothlypis ruficapilla,
