scientific.name,original_scientific,genus,species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,maximum_longevity_y,weaning_d,incubation_d,fledging_age_d,longevity_y,male_maturity_d
Otus sunia,,Otus,sunia,364.234,4,1,6.833333333,-999,24.5,25,6.775,365
Oecomys superans,,Oecomys,superans,-999,-999,-999,-999,-999,-999,-999,-999,-999
Diporiphora superba,,Diporiphora,superba,-999,5,-999,-999,-999,48,-999,-999,-999
Lophorina superba,,Lophorina,superba,-999,1.5,-999,-999,-999,19,20,-999,-999
Glauconycteris superba,,Glauconycteris,superba,-999,-999,-999,-999,-999,-999,-999,-999,-999
Austrelaps superbus,,Austrelaps,superbus,-999,15,1,-999,-999,-999,-999,-999,-999
Lamprotornis superbus,,Lamprotornis,superbus,-999,3.75,-999,-999,-999,-999,-999,-999,-999
Cinnyris superbus,,Cinnyris,superbus,-999,1.7,-999,-999,-999,-999,-999,-999,-999
Ptilinopus superbus,,Ptilinopus,superbus,-999,1,-999,-999,-999,-999,-999,-999,-999
Melanerpes superciliaris,,Melanerpes,superciliaris,-999,4.25,-999,-999,-999,-999,-999,-999,-999
Ficedula superciliaris,,Ficedula,superciliaris,-999,4,-999,-999,-999,-999,-999,-999,-999
Prinia superciliaris,,Prinia,superciliaris,-999,3.95,-999,-999,-999,10,-999,-999,-999
Ninox superciliaris,,Ninox,superciliaris,-999,3.95,-999,-999,-999,-999,-999,-999,-999
Brookesia superciliaris,,Brookesia,superciliaris,-999,3.5,-999,-999,-999,64,-999,-999,-999
Abroscopus superciliaris,,Abroscopus,superciliaris,-999,3.2,-999,-999,-999,-999,-999,-999,-999
Gymnoris superciliaris,,Gymnoris,superciliaris,-999,3.1,-999,-999,-999,-999,-999,-999,-999
Ortalis superciliaris,,Ortalis,superciliaris,-999,3,-999,-999,-999,-999,-999,-999,-999
Penelope superciliaris,,Penelope,superciliaris,726.936,3,-999,-999,-999,26.5,-999,-999,-999
Camaroptera superciliaris,,Camaroptera,superciliaris,-999,3,-999,-999,-999,-999,-999,-999,-999
Sternula superciliaris,,Sternula,superciliaris,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Cantorchilus superciliaris,,Cantorchilus,superciliaris,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Scytalopus superciliaris,,Scytalopus,superciliaris,-999,2.2,-999,-999,-999,-999,-999,-999,-999
Burhinus superciliaris,,Burhinus,superciliaris,-999,2,-999,-999,-999,-999,-999,-999,-999
Leptopogon superciliaris,,Leptopogon,superciliaris,-999,2,-999,-999,-999,-999,20,-999,-999
Drymodes superciliaris,,Drymodes,superciliaris,-999,1.7,-999,-999,-999,-999,-999,-999,-999
Polystictus superciliaris,,Polystictus,superciliaris,-999,1.4,-999,-999,-999,-999,-999,-999,-999
Sturnella superciliaris,,Sturnella,superciliaris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Rhipidura superciliaris,,Rhipidura,superciliaris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hemispingus superciliaris,,Hemispingus,superciliaris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pomatorhinus superciliaris,,Pomatorhinus,superciliaris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Phylloscartes superciliaris,,Phylloscartes,superciliaris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Anas superciliosa,,Anas,superciliosa,-999,9.037037037,1,-999,-999,-999,-999,-999,-999
Eumomota superciliosa,,Eumomota,superciliosa,-999,4,1,-999,-999,17,26,-999,-999
Oreothlypis superciliosa,,Oreothlypis,superciliosa,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Poecilodryas superciliosa,,Poecilodryas,superciliosa,-999,2,-999,-999,-999,-999,-999,-999,-999
Ophrysia superciliosa,,Ophrysia,superciliosa,-999,-999,-999,-999,-999,-999,-999,-999,-999
Centropus superciliosus,,Centropus,superciliosus,-999,4,2.5,-999,-999,15.5,-999,-999,-999
Merops superciliosus,,Merops,superciliosus,-999,4.25,1,-999,-999,21,30,-999,-999
Uranoscodon superciliosus,,Uranoscodon,superciliosus,-999,9.5,-999,-999,-999,94,-999,-999,-999
Vanellus superciliosus,,Vanellus,superciliosus,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Oriturus superciliosus,,Oriturus,superciliosus,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Ploceus superciliosus,,Ploceus,superciliosus,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Pomatostomus superciliosus,,Pomatostomus,superciliosus,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Artamus superciliosus,,Artamus,superciliosus,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Phaethornis superciliosus,,Phaethornis,superciliosus,-999,2,-999,-999,-999,-999,-999,-999,-999
Plocepasser superciliosus,,Plocepasser,superciliosus,-999,2,-999,-999,-999,-999,-999,-999,-999
Accipiter superciliosus,,Accipiter,superciliosus,-999,1.85,-999,-999,-999,-999,-999,-999,-999
Acanthorhynchus superciliosus,,Acanthorhynchus,superciliosus,-999,1.48,-999,-999,-999,-999,-999,-999,-999
Dasylophus superciliosus,,Dasylophus,superciliosus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Poecile superciliosus,,Poecile,superciliosus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Rhipidura superflua,,Rhipidura,superflua,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Eremias suphani,,Eremias,suphani,-999,3.5,2.8,-999,-999,45,-999,-999,-999
Teius suquiensis,,Teius,suquiensis,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Lipinia surda,,Lipinia,surda,-999,-999,-999,-999,-999,-999,-999,-999,-999
Menetia surda,,Menetia,surda,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pedetes surdaster,,Pedetes,surdaster,1034,1,3.6,20.04166667,46,-999,-999,14.5,-999
Graphiurus surdus,,Graphiurus,surdus,-999,4.99,-999,-999,-999,-999,-999,-999,-999
Akodon surdus,,Akodon,surdus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Suricata suricatta,,Suricata,suricatta,365,3.86,1,20.6,44,-999,-999,12.66666667,365
Maxomys surifer,,Maxomys,surifer,-999,3.54,-999,-999,-999,-999,-999,-999,-999
Micrurus surinamensis,,Micrurus,surinamensis,-999,8.5,-999,-999,-999,-999,-999,-999,-999
Myrmotherula surinamensis,,Myrmotherula,surinamensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Tachyphonus surinamus,,Tachyphonus,surinamus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pachyramphus surinamus,,Pachyramphus,surinamus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Trogon surrucura,,Trogon,surrucura,-999,-999,-999,-999,-999,-999,-999,-999,-999
Turnix suscitator,,Turnix,suscitator,-999,4.1,-999,-999,-999,14.5,-999,-999,-999
Spermophilus suslicus,,Spermophilus,suslicus,365.232,6,1,2.325,31.5,-999,-999,2.325,-999
Heloderma suspectum,,Heloderma,suspectum,-999,5.3,1,28.9,-999,240,-999,20,-999
Xiphorhynchus susurrans,,Xiphorhynchus,susurrans,-999,2,-999,-999,-999,18,20,-999,-999
Suta suta,,Suta,suta,-999,4.8,-999,-999,-999,-999,-999,-999,-999
Oligosoma suteri,,Oligosoma,suteri,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Orthotomus sutorius,,Orthotomus,sutorius,-999,3.25,1,-999,-999,12,-999,-999,-999
Luscinia svecica,,Luscinia,svecica,365,5.9,1,11.41666667,-999,13.5,13.5,11.4,365
Saltuarius swaini,,Saltuarius,swaini,-999,-999,-999,-999,-999,-999,-999,-999,-999
Buteo swainsoni,,Buteo,swainsoni,730,2.5,1,24.08333333,-999,32.75,43,16,730
Myiarchus swainsoni,,Myiarchus,swainsoni,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Onychorhynchus swainsoni,,Onychorhynchus,swainsoni,-999,2,-999,-999,-999,-999,-999,-999,-999
Notharchus swainsoni,,Notharchus,swainsoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Gampsonyx swainsonii,,Gampsonyx,swainsonii,-999,2.5,2,-999,-999,35,35,-999,-999
Limnothlypis swainsonii,,Limnothlypis,swainsonii,364.234,3,1.5,9.916666667,-999,14.5,11.5,7.8,365
Pternistis swainsonii,,Pternistis,swainsonii,-999,5.500859107,1.499687695,-999,-999,-999,-999,-999,-999
Antechinus swainsonii,,Antechinus,swainsonii,311.885,8.12,1,3.325,94.5,-999,-999,2,-999
Polytelis swainsonii,,Polytelis,swainsonii,363.468,5,-999,24.2,-999,20,37.5,15.1,-999
Passer swainsonii,,Passer,swainsonii,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Chlorostilbon swainsonii,,Chlorostilbon,swainsonii,-999,2,-999,-999,-999,-999,-999,-999,-999
Turdus swalesi,,Turdus,swalesi,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Anomalopus swansoni,,Anomalopus,swansoni,-999,3,-999,-999,-999,-999,-999,-999,-999
Afrogecko swartbergensis,,Afrogecko,swartbergensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Nesoryzomys swarthi,,Nesoryzomys,swarthi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pternistis swierstrai,,Pternistis,swierstrai,-999,-999,-999,-999,-999,-999,-999,-999,-999
Thryonomys swinderianus,,Thryonomys,swinderianus,332.96984,3.88,2.3,5.4,30,-999,-999,4.316666667,365
Agapornis swindernianus,,Agapornis,swindernianus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tamiops swinhoei,,Tamiops,swinhoei,-999,3.325,2,-999,-999,-999,-999,-999,-999
Capricornis swinhoei,,Capricornis,swinhoei,1041.615,1,0.83,24,59.27,-999,-999,18.58333333,638.82
Pomatorhinus swinhoei,,Pomatorhinus,swinhoei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lophura swinhoii,,Lophura,swinhoii,-999,5.85,-999,-999,-999,-999,-999,-999,-999
Japalura swinhonis,,Japalura,swinhonis,-999,4.3,2,-999,-999,-999,-999,-999,-999
Gekko swinhonis,,Gekko,swinhonis,-999,2,-999,-999,-999,-999,-999,-999,-999
Rhinolophus swinnyi,,Rhinolophus,swinnyi,-999,0.99,1,20,-999,-999,-999,20,-999
Coleonyx switaki,,Coleonyx,switaki,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cyrtodactylus sworderi,,Cyrtodactylus,sworderi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Swynnertonia swynnertoni,,Swynnertonia,swynnertoni,-999,2,-999,-999,-999,-999,-999,-999,-999
Pangshura sylhetensis,,Pangshura,sylhetensis,-999,9,-999,-999,-999,-999,-999,-999,-999
Agama sylvana,,Agama,sylvana,-999,-999,-999,-999,-999,-999,-999,-999,-999
Macaca sylvanus,,Macaca,sylvanus,1457.50858,1.5,1,29.1,213,-999,-999,22,2007
Anthus sylvanus,,Anthus,sylvanus,-999,3.9,-999,-999,-999,-999,-999,-999,-999
Akodon sylvanus,,Akodon,sylvanus,-999,3,-999,-999,-999,-999,-999,-999,-999
Ctenomys sylvanus,,Ctenomys,sylvanus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Zoonavena sylvatica,,Zoonavena,sylvatica,-999,3.95,-999,-999,-999,-999,-999,-999,-999
Prinia sylvatica,,Prinia,sylvatica,-999,3.9,-999,-999,-999,-999,-999,-999,-999
Natriciteres sylvatica,,Natriciteres,sylvatica,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Lepidophyma sylvaticum,,Lepidophyma,sylvaticum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Apodemus sylvaticus,,Apodemus,sylvaticus,71,5.18,3.8,6.325,20.69648,-999,-999,4.4,65
Turnix sylvaticus,,Turnix,sylvaticus,363.468,4,2,-999,-999,13,7,-999,-999
Bradypterus sylvaticus,,Bradypterus,sylvaticus,-999,2.45,-999,-999,-999,-999,-999,-999,-999
Takydromus sylvaticus,,Takydromus,sylvaticus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Gallirallus sylvestris,,Gallirallus,sylvestris,-999,2.50862069,1.493150685,-999,-999,-999,-999,-999,-999
Pogonomys sylvestris,,Pogonomys,sylvestris,-999,2.155,-999,-999,-999,-999,-999,-999,-999
Glyphonycteris sylvestris,,Glyphonycteris,sylvestris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tanysiptera sylvia,,Tanysiptera,sylvia,-999,2.99,-999,-999,-999,-999,-999,-999,-999
Poecilotriccus sylvia,,Poecilotriccus,sylvia,-999,2,-999,-999,-999,19,21,-999,-999
Sarkidiornis sylvicola,,Sarkidiornis,sylvicola,-999,10.2503888,1,-999,-999,29,70,-999,-999
Tephrodornis sylvicola,,Tephrodornis,sylvicola,-999,2.8,-999,-999,-999,-999,-999,-999,-999
Phylloscartes sylviolus,,Phylloscartes,sylviolus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eurydactylodes symmetricus,,Eurydactylodes,symmetricus,-999,2,-999,-999,-999,65,-999,-999,-999
Crithagra symonsi,,Crithagra,symonsi,-999,3.9,-999,-999,-999,-999,-999,-999,-999
Arthrosaura synaptolepis,,Arthrosaura,synaptolepis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Symphalangus syndactylus,,Symphalangus,syndactylus,2455.4892,1.02,0.4,43,642,-999,-999,38,2190
Bleda syndactylus,,Bleda,syndactylus,-999,2,-999,-999,-999,-999,-999,-999,-999
Carpodacus synoicus,,Carpodacus,synoicus,-999,4.5,-999,-999,-999,-999,-999,-999,-999
Dendrocopos syriacus,,Dendrocopos,syriacus,-999,5,-999,10.91666667,-999,11,25,10.91666667,-999
Serinus syriacus,,Serinus,syriacus,-999,4,-999,6.917,-999,-999,-999,6.917,-999
Tarsius syrichta,,Tarsius,syrichta,1026.51,1,-999,16.13333333,83,-999,-999,13.5,-999
Acrocephalus syrinx,,Acrocephalus,syrinx,-999,-999,-999,-999,-999,-999,-999,-999,-999
Phaethornis syrmatophorus,,Phaethornis,syrmatophorus,-999,2,-999,-999,-999,-999,-999,-999,-999
Gerbillus syrticus,,Gerbillus,syrticus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Oriolus szalayi,,Oriolus,szalayi,-999,1.4,-999,-999,-999,-999,-999,-999,-999
Alsophylax szczerbaki,,Alsophylax,szczerbaki,-999,1.4,1.4,-999,-999,-999,-999,-999,-999
Eremias szczerbaki,,Eremias,szczerbaki,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tetraophasis szechenyii,,Tetraophasis,szechenyii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Porzana tabuensis,,Porzana,tabuensis,-999,3.5,-999,-999,-999,20.5,-999,-999,-999
Prosopeia tabuensis,,Prosopeia,tabuensis,-999,3,-999,-999,-999,-999,-999,-999,-999
Aplonis tabuensis,,Aplonis,tabuensis,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Chlorospingus tacarcunae,,Chlorospingus,tacarcunae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Nectarinia tacazze,,Nectarinia,tacazze,-999,1.4,-999,-999,-999,-999,-999,-999,-999
Accipiter tachiro,,Accipiter,tachiro,-999,2.45,1.5,-999,-999,29,32,-999,-999
Takydromus tachydromoides,,Takydromus,tachydromoides,-999,3.5,3,-999,-999,-999,-999,-999,-999
Philodryas tachymenoides,,Philodryas,tachymenoides,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ailuronyx tachyscopaeus,,Ailuronyx,tachyscopaeus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Arremon taciturnus,,Arremon,taciturnus,-999,2,-999,-999,-999,-999,-999,-999,-999
Liolaemus tacnae,,Liolaemus,tacnae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Locustella tacsanowskia,,Locustella,tacsanowskia,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cuniculus taczanowskii,,Cuniculus,taczanowskii,342.289,1,1.5,18.9,75.67538,-999,-999,16.55,365
Leucippus taczanowskii,,Leucippus,taczanowskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cinclodes taczanowskii,,Cinclodes,taczanowskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Leptopogon taczanowskii,,Leptopogon,taczanowskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Podiceps taczanowskii,,Podiceps,taczanowskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Thomasomys taczanowskii,,Thomasomys,taczanowskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alsophylax tadjikiensis,,Alsophylax,tadjikiensis,-999,1.4,2,-999,-999,56,-999,-999,-999
Tadorna tadorna,,Tadorna,tadorna,730,8.95,1,24.8,-999,30,53.75,24.75,730
Tadorna tadornoides,,Tadorna,tadornoides,-999,10.2,1,8.25,-999,30,60,8.25,-999
Bradypodion taeniabronchum,,Bradypodion,taeniabronchum,547.92,11,4,3.4,-999,-999,-999,3.4,547.92
Rhadinaea taeniata,,Rhadinaea,taeniata,-999,11.5,-999,-999,-999,-999,-999,-999,-999
Dubusia taeniata,,Dubusia,taeniata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Abronia taeniata,,Abronia,taeniata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lerista taeniata,,Lerista,taeniata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bothrops taeniata,,Bothrops,taeniata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Coluber taeniatus,,Coluber,taeniatus,1095.72,7.5,-999,-999,-999,-999,-999,-999,547.86
Peucedramus taeniatus,,Peucedramus,taeniatus,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Oligodon taeniatus,,Oligodon,taeniatus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Strophurus taeniatus,,Strophurus,taeniatus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ophidiocephalus taeniatus,,Ophidiocephalus,taeniatus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Strophurus taenicauda,,Strophurus,taenicauda,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sceloporus taeniocnemis,,Sceloporus,taeniocnemis,-999,6,1,-999,-999,-999,-999,-999,-999
Erythrolamprus taeniogaster,,Erythrolamprus,taeniogaster,-999,-999,-999,-999,-999,-999,-999,-999,-999
Nucras taeniolata,,Nucras,taeniolata,-999,4.7,1,-999,-999,-999,-999,-999,-999
Eurylepis taeniolata,,Eurylepis,taeniolata,-999,4.5,-999,-999,-999,-999,-999,-999,-999
Ctenotus taeniolatus,,Ctenotus,taeniolatus,-999,3.7,1,-999,-999,40,-999,-999,-999
Morethia taeniopleura,,Morethia,taeniopleura,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Ploceus taeniopterus,,Ploceus,taeniopterus,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Draco taeniopterus,,Draco,taeniopterus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Rhoptropus taeniostictus,,Rhoptropus,taeniostictus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ameiva taeniura,,Ameiva,taeniura,-999,-999,-999,-999,-999,-999,-999,-999,-999
Orthriophis taeniurus,,Orthriophis,taeniurus,-999,11.5,-999,11.6,-999,65,-999,10.65,-999
Taeromys taerae,,Taeromys,taerae,-999,4.37,-999,-999,-999,-999,-999,-999,-999
Garrulax taewanus,,Garrulax,taewanus,-999,3.2,-999,-999,-999,-999,-999,-999,-999
Parvoscincus tagapayo,,Parvoscincus,tagapayo,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acanthodactylus taghitensis,,Acanthodactylus,taghitensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Emberiza tahapisi,,Emberiza,tahapisi,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Hirundo tahitica,,Hirundo,tahitica,363.468,3.5,2.5,6.916666667,-999,16,-999,6.916666667,-999
Numenius tahitiensis,,Numenius,tahitiensis,1065,4,1,23.834,-999,-999,-999,23.81666667,1065
Gekko taibaiensis,,Gekko,taibaiensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Urodynamis taitensis,,Urodynamis,taitensis,-999,1,-999,-999,-999,-999,-999,-999,-999
Acrocephalus taiti,,Acrocephalus,taiti,-999,-999,-999,-999,-999,-999,-999,-999,-999
Microgale taiva,,Microgale,taiva,-999,-999,-999,1.083333333,-999,-999,-999,1.083333333,-999
Pycnonotus taivanus,,Pycnonotus,taivanus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sphenomorphus taiwanensis,,Sphenomorphus,taiwanensis,-999,5.2,1,-999,-999,-999,-999,-999,-999
Pecari tajacu,,Pecari,tajacu,323.83904,1.82,2,31.5,50.3706,-999,-999,24.7,358
Oryzomys talamancae,,Oryzomys,talamancae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Liolaemus talampaya,,Liolaemus,talampaya,-999,-999,-999,-999,-999,-999,-999,-999,-999
Miopithecus talapoin,,Miopithecus,talapoin,1617.06468,1,1,30.9,165.26748,-999,-999,27.7,2008
Ctenomys talarum,,Ctenomys,talarum,228.36,4.17,1.75,3,36.5232,-999,-999,3,213.08
Zoothera talaseae,,Zoothera,talaseae,-999,2,-999,-999,-999,-999,-999,-999,-999
Cinnyris talatala,,Cinnyris,talatala,-999,1.7,-999,-999,-999,13,14.5,-999,-999
Melomys talaudium,,Melomys,talaudium,-999,2.075,-999,-999,20,-999,-999,-999,-999
Microgale talazaci,,Microgale,talazaci,639,2.23,-999,5.833333333,29.38,-999,-999,5.8,639
Hemiergis talbingoensis,,Hemiergis,talbingoensis,-999,3,1,2.4,-999,-999,-999,2.4,-999
Brachymeles talinis,,Brachymeles,talinis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bachia talpa,,Bachia,talpa,-999,-999,-999,-999,-999,-999,-999,-999,-999
Columbina talpacoti,,Columbina,talpacoti,-999,2,2.5,-999,-999,12.5,115,-999,-999
Lerista talpina,,Lerista,talpina,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ellobius talpinus,,Ellobius,talpinus,93.7017,3.635,4.375,0.583333333,60.431,-999,-999,0.583333333,-999
Urotrichus talpoides,,Urotrichus,talpoides,368.231,3.51,1.375,3.5,29.113,-999,-999,3.5,-999
Thomomys talpoides,,Thomomys,talpoides,294.0206,4.975,1.065,6,36.64776,-999,-999,3.75,-999
Cyrtodactylus tamaiensis,,Cyrtodactylus,tamaiensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Meriones tamariscinus,,Meriones,tamariscinus,-999,4.125,2,4.075,17.24208,-999,-999,4.075,-999
Conirostrum tamarugense,,Conirostrum,tamarugense,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bucco tamatia,,Bucco,tamatia,-999,2,-999,-999,-999,-999,-999,-999,-999
Plestiodon tamdaoensis,,Plestiodon,tamdaoensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tupaia tana,,Tupaia,tana,365.25,2.185,-999,14,31,-999,-999,11.6,365.25
Mochlus tanae,,Mochlus,tanae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Turnagra tanagra,,Turnagra,tanagra,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sphenomorphus tanahtinggi,,Sphenomorphus,tanahtinggi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Crocidura tanakae,,Crocidura,tanakae,-999,0.99,-999,-999,-999,-999,-999,-999,-999
Eliurus tanala,,Eliurus,tanala,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ctenotus tanamiensis,,Ctenotus,tanamiensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Panaspis tancredi,,Panaspis,tancredi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ellobius tancrei,,Ellobius,tancrei,93.7017,3.635,4.375,0.583333333,60.431,-999,-999,0.458333333,-999
Anolis tandai,,Anolis,tandai,-999,1,-999,-999,-999,-999,-999,-999,-999
Trachylepis tandrefana,,Trachylepis,tandrefana,-999,-999,-999,-999,-999,-999,-999,-999,-999
Rattus tanezumi,,Rattus,tanezumi,102.645,5.95,4.28,4.2,26.08748,-999,-999,4.2,112
Viverra tangalunga,,Viverra,tangalunga,-999,1.92,-999,15.225,-999,-999,-999,12,-999
Afrotyphlops tanganicanus,,Afrotyphlops,tanganicanus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hemidactylus tanganicus,,Hemidactylus,tanganicus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Psammophis tanganicus,,Psammophis,tanganicus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Timon tangitanus,,Timon,tangitanus,1278.34,10,2,13.975,-999,90,-999,7.1,547.74
Acrocephalus tangorum,,Acrocephalus,tangorum,-999,4.9,-999,-999,-999,-999,-999,-999,-999
Gonatodes taniae,,Gonatodes,taniae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Paroedura tanjaka,,Paroedura,tanjaka,-999,-999,-999,-999,-999,-999,-999,-999,-999
Turnix tanki,,Turnix,tanki,-999,4,-999,-999,-999,12,10,-999,-999
Ptilinopus tannensis,,Ptilinopus,tannensis,-999,1,-999,-999,-999,-999,-999,-999,-999
Sceloporus tanneri,,Sceloporus,tanneri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lygisaurus tanneri,,Lygisaurus,tanneri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sphenomorphus tanneri,,Sphenomorphus,tanneri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chlorocebus tantalus,,Chlorocebus,tantalus,1318.86,1,1,46,212.74764,-999,-999,30.34583333,1825
Ctenotus tantillus,,Ctenotus,tantillus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Emydura tanybaraga,,Emydura,tanybaraga,-999,8,-999,-999,-999,49,-999,-999,-999
Amphiglossus tanysoma,,Amphiglossus,tanysoma,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tinamus tao,,Tinamus,tao,-999,9,-999,-999,-999,-999,-999,-999,-999
Gonatodes tapajonicus,,Gonatodes,tapajonicus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Progne tapera,,Progne,tapera,-999,4,-999,-999,-999,-999,-999,-999,-999
Phascogale tapoatafa,,Phascogale,tapoatafa,365.28,6.595,1,5.908333333,149.57,-999,-999,4,365
Lankascincus taprobanensis,,Lankascincus,taprobanensis,-999,3,-999,-999,-999,-999,-999,-999,-999
Gerbillus tarabuli,,Gerbillus,tarabuli,78.48962,3.385,5,8.2,27.06575,-999,-999,8.166666667,73
Rangifer tarandus,,Rangifer,tarandus,695.16674,1.1,1,21.7,120,-999,-999,20.2,680
Agapornis taranta,,Agapornis,taranta,363.468,5,-999,14.6,-999,25.5,49.3,14.6,-999
Microlophus tarapacensis,,Microlophus,tarapacensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lepidophyma tarascae,,Lepidophyma,tarascae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Otis tarda,,Otis,tarda,1635.606,2.5,1,28.3,-999,24.5,33.75,28.3,-999
Loris tardigradus,,Loris,tardigradus,380,1.37,1.5,19.3,158.745,-999,-999,15.90833333,365
Crocidura tarella,,Crocidura,tarella,-999,2.75,-999,0.083333333,-999,-999,-999,0.083333333,-999
Crocidura tarfayensis,,Crocidura,tarfayensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Liolaemus tari,,Liolaemus,tari,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pteroptochos tarnii,,Pteroptochos,tarnii,-999,2,-999,-999,-999,-999,-999,-999,-999
Irenomys tarsalis,,Irenomys,tarsalis,-999,3.85,-999,-999,-999,-999,-999,-999,-999
Tarsius tarsier,,Tarsius,tarsier,501.76184,1,1.84,12,68.34986,-999,-999,12,-999
Hemidactylus tasmani,,Hemidactylus,tasmani,-999,-999,-999,-999,-999,-999,-999,-999,-999
