Binomial,scientific.name,original.scientific,TrophicLevel,TrophicNiche,ForagingNiche
Charadrius_peronii,Charadrius peronii,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_placidus,Charadrius placidus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_ruficapillus,Charadrius ruficapillus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_sanctaehelenae,Charadrius sanctaehelenae,,Carnivore,Invertivore,Invertivore ground
Charadrius_semipalmatus,Charadrius semipalmatus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_thoracicus,Charadrius thoracicus,,Carnivore,Invertivore,Invertivore ground
Charadrius_tricollaris,Charadrius tricollaris,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_veredus,Charadrius veredus,,Carnivore,Omnivore,NA
Charadrius_vociferus,Charadrius vociferus,,Carnivore,Omnivore,NA
Charadrius_wilsonia,Charadrius wilsonia,,Carnivore,Aquatic predator,Aquatic ground
Charitospiza_eucosma,Charitospiza eucosma,,Omnivore,Omnivore,NA
Charmosyna_amabilis,Charmosyna amabilis,,Herbivore,Nectarivore,Nectarivore glean
Charmosyna_diadema,Charmosyna diadema,,Herbivore,Omnivore,NA
Charmosyna_josefinae,Charmosyna josefinae,,Herbivore,Nectarivore,Nectarivore glean
Charmosyna_margarethae,Charmosyna margarethae,,Herbivore,Omnivore,NA
Charmosyna_meeki,Charmosyna meeki,,Herbivore,Omnivore,NA
Charmosyna_multistriata,Charmosyna multistriata,,Herbivore,Omnivore,NA
Charmosyna_palmarum,Charmosyna palmarum,,Herbivore,Nectarivore,Nectarivore glean
Charmosyna_papou,Charmosyna papou,,Herbivore,Omnivore,NA
Charmosyna_placentis,Charmosyna placentis,,Herbivore,Omnivore,NA
Charmosyna_pulchella,Charmosyna pulchella,,Herbivore,Nectarivore,Nectarivore glean
Charmosyna_rubrigularis,Charmosyna rubrigularis,,Herbivore,Omnivore,NA
Charmosyna_rubronotata,Charmosyna rubronotata,,Herbivore,Nectarivore,Nectarivore glean
Charmosyna_toxopei,Charmosyna toxopei,,Herbivore,Nectarivore,Nectarivore glean
Charmosyna_wilhelminae,Charmosyna wilhelminae,,Herbivore,Nectarivore,Nectarivore glean
Chasiempis_sandwichensis,Chasiempis sandwichensis,,Carnivore,Invertivore,Generalist
Chauna_chavaria,Chauna chavaria,,Herbivore,Herbivore aquatic,Herbivore aquatic ground
Chauna_torquata,Chauna torquata,,Herbivore,Herbivore aquatic,Herbivore aquatic ground
